Anio,Mes,DEPARTAMENTO,Region,IPC_Regional_Actual,IPC_Regional_Anterior,Inflacion_regional,Proporcion_Regional,Poblacion_pais,Poblacion_Dpto,Prop_Depto,Contribucion_Inflacion_Depto
2022,Abril,San Marcos,Reg VI,142.74,136.43,4.62508246,0.293295148,17357886,1206198,0.069489914,0.321396581
2022,Mayo,San Marcos,Reg VI,145.27,136.45,6.463906193,0.293295148,17357886,1206198,0.069489914,0.449176283
2022,Junio,San Marcos,Reg VI,147.77,136.9,7.940102264,0.293295148,17357886,1206198,0.069489914,0.551757021
2022,Julio,San Marcos,Reg VI,149.27,137.37,8.662735677,0.293295148,17357886,1206198,0.069489914,0.601972755
2022,Agosto,San Marcos,Reg VI,150.8,137.61,9.585059225,0.293295148,17357886,1206198,0.069489914,0.666064938
2022,Septiembre,San Marcos,Reg VI,150.48,137.96,9.07509423,0.293295148,17357886,1206198,0.069489914,0.630627515
2022,Octubre,San Marcos,Reg VI,151.47,138.59,9.293599827,0.293295148,17357886,1206198,0.069489914,0.64581145
2022,Noviembre,San Marcos,Reg VI,152.16,139.36,9.184845006,0.293295148,17357886,1206198,0.069489914,0.638254087
2022,Diciembre,San Marcos,Reg VI,152.78,140.07,9.074034411,0.293295148,17357886,1206198,0.069489914,0.630553868
2022,Enero,Santa Rosa,Reg IV,212.98,207.5,2.640963855,0.318725552,17357886,451731,0.02602454,0.06872987
2022,Febrero,Santa Rosa,Reg IV,214.11,208.42,2.730064293,0.318725552,17357886,451731,0.02602454,0.071048668
2022,Marzo,Santa Rosa,Reg IV,217.01,209.08,3.792806581,0.318725552,17357886,451731,0.02602454,0.098706047
2022,Abril,Santa Rosa,Reg IV,217.45,209.99,3.552550121,0.318725552,17357886,451731,0.02602454,0.092453483
2022,Mayo,Santa Rosa,Reg IV,218.93,210.64,3.935624763,0.318725552,17357886,451731,0.02602454,0.102422824
2022,Junio,Santa Rosa,Reg IV,226.94,211.01,7.549405241,0.318725552,17357886,451731,0.02602454,0.196469799
2022,Julio,Santa Rosa,Reg IV,227.57,211.36,7.669379258,0.318725552,17357886,451731,0.02602454,0.199592068
2022,Agosto,Santa Rosa,Reg IV,228.73,211.24,8.279681878,0.318725552,17357886,451731,0.02602454,0.215474913
2022,Septiembre,Santa Rosa,Reg IV,229.96,211.28,8.841347974,0.318725552,17357886,451731,0.02602454,0.230092015
2022,Octubre,Santa Rosa,Reg IV,233.71,211.55,10.475065,0.318725552,17357886,451731,0.02602454,0.272608749
2022,Noviembre,Santa Rosa,Reg IV,234.16,212.13,10.38514119,0.318725552,17357886,451731,0.02602454,0.270268523
2022,Diciembre,Santa Rosa,Reg IV,235.01,212.73,10.47337,0.318725552,17357886,451731,0.02602454,0.272564637
2022,Enero,Sololá,Reg VI,139.86,136.55,2.424020505,0.116986102,17357886,481114,0.027717315,0.067187341
2022,Febrero,Sololá,Reg VI,139.99,135.62,3.222238608,0.116986102,17357886,481114,0.027717315,0.089311804
2022,Marzo,Sololá,Reg VI,141.93,136.18,4.222352768,0.116986102,17357886,481114,0.027717315,0.117032283
2022,Abril,Sololá,Reg VI,142.74,136.43,4.62508246,0.116986102,17357886,481114,0.027717315,0.128194869
2022,Mayo,Sololá,Reg VI,145.27,136.45,6.463906193,0.116986102,17357886,481114,0.027717315,0.179162126
2022,Junio,Sololá,Reg VI,147.77,136.9,7.940102264,0.116986102,17357886,481114,0.027717315,0.220078318
2022,Julio,Sololá,Reg VI,149.27,137.37,8.662735677,0.116986102,17357886,481114,0.027717315,0.240107777
2022,Agosto,Sololá,Reg VI,150.8,137.61,9.585059225,0.116986102,17357886,481114,0.027717315,0.265672109
2022,Septiembre,Sololá,Reg VI,150.48,137.96,9.07509423,0.116986102,17357886,481114,0.027717315,0.251537249
